code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_usd,baseline_median_usd,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
VICI,Vici Properties,core,Hotel & Resort REITs,不動産,3.011,0.61,37175666,12346517,0.051,0.050,+0.001,26.6,-2.06
BILL,"BILL Holdings, Inc.",hot,,不明,3.001,1.89,17794434,5930211,0.024,0.019,+0.005,47.0,+3.70
MTB,M&T Bank,core,Regional Banks,金融,2.994,1.67,37267163,12448011,0.051,0.040,+0.011,250.2,+0.33
IEX,IDEX Corporation,core,Industrial Machinery & Supplies & Components,資本財,2.990,1.12,27673986,9254717,0.038,0.033,+0.005,233.7,+2.96
GRAB,Grab Holdings Limited,hot,,不明,2.985,1.03,27751560,9296958,0.038,0.034,+0.004,3.7,+8.27
SNOW,Snowflake Inc.,hot,,不明,2.975,1.64,290599814,97695702,0.397,0.328,+0.069,317.9,+17.84
TRI,Thomson Reuters Corporation Common Shares,leader,,不明,2.974,1.60,50807101,17085589,0.069,0.055,+0.014,100.2,-1.24
ABT,Abbott Laboratories,core,Health Care Equipment,ヘルスケア,2.971,1.91,128699070,43322676,0.176,0.136,+0.040,108.0,+1.88
CVX,Chevron Corporation,core,Integrated Oil & Gas,エネルギー,2.970,2.11,217725331,73302594,0.297,0.232,+0.065,189.2,-0.94
PHM,PulteGroup,core,Homebuilding,一般消費財,2.966,1.18,23815827,8029796,0.033,0.028,+0.005,129.6,-2.36
MPC,Marathon Petroleum,core,Oil & Gas Refining & Marketing,エネルギー,2.964,2.40,92249982,31127602,0.126,0.093,+0.033,299.2,-4.44
XYL,Xylem Inc.,core,Industrial Machinery & Supplies & Components,資本財,2.961,1.01,30193833,10196483,0.041,0.039,+0.002,120.8,-0.01
HBAN,Huntington Bancshares,core,Regional Banks,金融,2.954,3.16,72947975,24693079,0.100,0.071,+0.029,17.4,+0.99
