code,name,bucket,sector,group
NUE,Nucor,core,Steel,素材
NVR,"NVR, Inc.",core,Homebuilding,一般消費財
NWS,News Corp (Class B),core,Publishing,コミュニケーション・サービス
NWSA,News Corp (Class A),core,Publishing,コミュニケーション・サービス
O,Realty Income,core,Retail REITs,不動産
OKE,Oneok,core,Oil & Gas Storage & Transportation,エネルギー
OMC,Omnicom Group,core,Advertising,コミュニケーション・サービス
ON,ON Semiconductor,core,Semiconductors,情報技術
ORCL,Oracle Corporation,core,Application Software,情報技術
OTIS,Otis Worldwide,core,Industrial Machinery & Supplies & Components,資本財
OXY,Occidental Petroleum,core,Oil & Gas Exploration & Production,エネルギー
PCG,PG&E Corporation,core,Multi-Utilities,公益事業
PEG,Public Service Enterprise Group,core,Electric Utilities,公益事業
PFE,Pfizer,core,Pharmaceuticals,ヘルスケア
PFG,Principal Financial Group,core,Life & Health Insurance,金融
PG,Procter & Gamble,core,Personal Care Products,生活必需品
PGR,Progressive Corporation,core,Property & Casualty Insurance,金融
PH,Parker Hannifin,core,Industrial Machinery & Supplies & Components,資本財
PHM,PulteGroup,core,Homebuilding,一般消費財
PKG,Packaging Corporation of America,core,Paper & Plastic Packaging Products & Materials,素材
PLD,Prologis,core,Industrial REITs,不動産
PM,Philip Morris International,core,Tobacco,生活必需品
PNC,PNC Financial Services,core,Diversified Banks,金融
PNR,Pentair,core,Industrial Machinery & Supplies & Components,資本財
PNW,Pinnacle West Capital,core,Multi-Utilities,公益事業
PODD,Insulet Corporation,core,Health Care Equipment,ヘルスケア
PPG,PPG Industries,core,Specialty Chemicals,素材
PPL,PPL Corporation,core,Electric Utilities,公益事業
PRU,Prudential Financial,core,Life & Health Insurance,金融
PSA,Public Storage,core,Self-Storage REITs,不動産
PSKY,Paramount Skydance Corporation,core,Movies & Entertainment,コミュニケーション・サービス
PSX,Phillips 66,core,Oil & Gas Refining & Marketing,エネルギー
PTC,PTC Inc.,core,Application Software,情報技術
PWR,Quanta Services,core,Construction & Engineering,資本財
Q,Qnity Electronics,core,Semiconductor Materials & Equipment,情報技術
RCL,Royal Caribbean Group,core,"Hotels, Resorts & Cruise Lines",一般消費財
REG,Regency Centers,core,Retail REITs,不動産
RF,Regions Financial Corporation,core,Regional Banks,金融
RJF,Raymond James Financial,core,Investment Banking & Brokerage,金融
RL,Ralph Lauren Corporation,core,"Apparel, Accessories & Luxury Goods",一般消費財
RMD,ResMed,core,Health Care Equipment,ヘルスケア
ROK,Rockwell Automation,core,Electrical Components & Equipment,資本財
ROL,"Rollins, Inc.",core,Environmental & Facilities Services,資本財
RSG,Republic Services,core,Environmental & Facilities Services,資本財
RTX,RTX Corporation,core,Aerospace & Defense,資本財
RVTY,Revvity,core,Health Care Equipment,ヘルスケア
SBAC,SBA Communications,core,Telecom Tower REITs,不動産
SCHW,Charles Schwab Corporation,core,Investment Banking & Brokerage,金融
SHW,Sherwin-Williams,core,Specialty Chemicals,素材
SJM,J.M. Smucker Company (The),core,Packaged Foods & Meats,生活必需品
SLB,Schlumberger,core,Oil & Gas Equipment & Services,エネルギー
SMCI,Supermicro,core,"Technology Hardware, Storage & Peripherals",情報技術
SNA,Snap-on,core,Industrial Machinery & Supplies & Components,資本財
SO,Southern Company,core,Electric Utilities,公益事業
SOLV,Solventum,core,Health Care Technology,ヘルスケア
SPG,Simon Property Group,core,Retail REITs,不動産
SPGI,S&P Global,core,Financial Exchanges & Data,金融
SRE,Sempra,core,Multi-Utilities,公益事業
STE,Steris,core,Health Care Equipment,ヘルスケア
STLD,Steel Dynamics,core,Steel,素材
STT,State Street Corporation,core,Asset Management & Custody Banks,金融
STZ,Constellation Brands,core,Distillers & Vintners,生活必需品
SW,Smurfit Westrock,core,Paper & Plastic Packaging Products & Materials,素材
SWK,Stanley Black & Decker,core,Industrial Machinery & Supplies & Components,資本財
SWKS,Skyworks Solutions,core,Semiconductors,情報技術
SYF,Synchrony Financial,core,Consumer Finance,金融
SYK,Stryker Corporation,core,Health Care Equipment,ヘルスケア
SYY,Sysco,core,Food Distributors,生活必需品
T,AT&T,core,Integrated Telecommunication Services,コミュニケーション・サービス
TAP,Molson Coors Beverage Company,core,Brewers,生活必需品
TDG,TransDigm Group,core,Aerospace & Defense,資本財
TDY,Teledyne Technologies,core,Electronic Equipment & Instruments,情報技術
TECH,Bio-Techne,core,Life Sciences Tools & Services,ヘルスケア
TEL,TE Connectivity,core,Electronic Manufacturing Services,情報技術
TFC,Truist Financial,core,Diversified Banks,金融
TGT,Target Corporation,core,Consumer Staples Merchandise Retail,生活必需品
TJX,TJX Companies,core,Apparel Retail,一般消費財
TKO,TKO Group Holdings,core,Movies & Entertainment,コミュニケーション・サービス
TMO,Thermo Fisher Scientific,core,Life Sciences Tools & Services,ヘルスケア
TPL,Texas Pacific Land Corporation,core,Oil & Gas Exploration & Production,エネルギー
TPR,"Tapestry, Inc.",core,"Apparel, Accessories & Luxury Goods",一般消費財
