name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
STKESOL by SOL Strategies,Liquid Staking,Solana,13161,48503,176618,,
Jito DAO,DAO Service Provider,Solana,13028,70282,212639,18.45,510.78
Rabby Perps,Interface,Hyperliquid L1,13006,62867,306357,-1.28,52.8
Pull.fun,Physical TCG,Off Chain,12521,116422,530783,-10.86,-52.05
ADEN,Interface,Off Chain;Orderly Network;GateLayer,12330,36577,163652,133.43,231.81
Quai,Chain,Quai,12286,71538,399721,-1.84,117.3
Kraken Bitcoin Vault,Yield,Ink,12249,83753,437173,-23.73,-33.21
stHYPE,Liquid Staking,Hyperliquid L1,12237,83220,391973,3.38,-6.29
Yuzu Money,Yield,Plasma;Monad,12139,84959,344246,-0.66,11.03
Harmonic,MEV,Solana,12122,87524,320669,-11.02,32.64
Fluid DEX,Dexs,Ethereum;Arbitrum;Polygon;Base;Plasma,12107,82327,532292,-7.14,-46.99
Hivemapper,DePIN,Solana,12004,12004,15704,,1969.66
Blend Pools V2,Lending,Stellar,11593,83547,320188,4.57,20.45
Lista Lending,Lending,BSC,11528,80449,393218,0.57,-5.59
fomo Perps,Interface,Hyperliquid L1,11118,75520,160093,-26.3,20.91
Frax USD,RWA,Ethereum;Sui,10892,75998,339654,-0.51,0.35
Kamino Liquidity,Liquidity Manager,Solana,10829,45304,201456,0,237.25
LayerZero V2,Bridge,Fantom;CORE;Kaia;Harmony;Aurora;Linea;Scroll;OP Mainnet;Avalanche;Polygon zkEVM;Arbitrum;Ethereum;Polygon;Base;BSC;Mantle;Celo;Blast;Fraxtal;X Layer;Bitlayer;Mode;Merlin;BOB;Taiko;zkLink Nova;Zircuit;Flare;Swellchain;Sonic;Ink;Sophon;Soneium;Abstract;Berachain;Unichain;Data Network;Hemi;Plume Mainnet;Katana;Monad;Plasma;MegaETH,10731,17276,90463,63.96,
Unit,Bridge,Hyperliquid L1,10687,93075,398492,-30.28,-25.6
Theo Network thBill,RWA,Ethereum;Base;Hyperliquid L1;Arbitrum;Stable,10658,74752,348725,2.23,-12.36
HumidiFi,Dexs,Solana,10401,31705,-17849,28791.67,-22710.87
Metronome Synth,Synthetics,Ethereum;OP Mainnet;Base;Plasma,10207,200883,1118942,-66.23,-92.73
Solstice,Basis Trading,Solana,10156,70830,289094,0.54,3.19
Noon,Yield,Ethereum;ZKsync Era;Sophon;TAC,10085,61726,260356,43.09,2.06
Bankr,Interface,Base,10033,154905,1998325,-66.58,-48.96
alphagrowth,Risk Curators,Unichain;Ethereum;Base;Linea;Monad,9960,67683,281600,1.97,4.33
Chutes,Decentralized AI,Bittensor,9890,68735,364246,-1.76,-8.76
Railgun,Privacy,Ethereum;Arbitrum;Polygon;BSC,9627,58702,294688,-14.97,-10.89
Velodrome V3,Dexs,OP Mainnet;Lisk;Mode;Fraxtal;Ink;Soneium;Swellchain;Unichain;Celo,9476,49246,291275,14.83,0.62
Trust Wallet Wallet,Wallets,Ethereum;OP Mainnet;Arbitrum;Base;Polygon;Avalanche;BSC,9449,59558,219631,39.7,-33.91
Injective,Chain,Injective,9292,58444,262698,0.18,18.14
LAB Terminal,Trading App,Solana,9268,68490,268777,-2.99,42.67
Bedrock uniETH,Liquid Restaking,Ethereum,9265,9393,45303,308733.33,7082.17
