code,name,bucket,sector
8060,キヤノンマーケティングジャパン,core,卸売業
8086,ニプロ,core,精密機器
8088,岩谷産業,core,卸売業
8111,ゴールドウイン,core,繊維製品
8113,ユニ・チャーム,core,化学
8129,東邦ホールディングス,core,卸売業
8136,サンリオ,core,卸売業
8174,日本瓦斯,core,小売業
8227,しまむら,core,小売業
8242,エイチ・ツー・オー　リテイリング,core,小売業
8282,ケーズホールディングス,core,小売業
8283,ＰＡＬＴＡＣ,core,卸売業
8303,ＳＢＩ新生銀行,core,銀行業
8334,群馬銀行,core,銀行業
8341,七十七銀行,core,銀行業
8359,八十二長野銀行,core,銀行業
8377,ほくほくフィナンシャルグループ,core,銀行業
8410,セブン銀行,core,銀行業
8418,山口フィナンシャルグループ,core,銀行業
8424,芙蓉総合リース,core,その他金融業
8439,東京センチュリー,core,その他金融業
8473,ＳＢＩホールディングス,core,証券、商品先物取引業
8570,イオンフィナンシャルサービス,core,その他金融業
8572,アコム,core,その他金融業
8593,三菱ＨＣキャピタル,core,その他金融業
8595,ジャフコ　グループ,core,証券、商品先物取引業
8729,ソニーフィナンシャルグループ,core,保険業
8876,リログループ,core,サービス業
9003,相鉄ホールディングス,core,陸運業
9006,京浜急行電鉄,core,陸運業
9023,東京地下鉄,core,陸運業
9024,西武ホールディングス,core,陸運業
9031,西日本鉄道,core,陸運業
9041,近鉄グループホールディングス,core,陸運業
9042,阪急阪神ホールディングス,core,陸運業
9044,ＮＡＮＫＡＩ,core,陸運業
9045,京阪ホールディングス,core,陸運業
9048,名古屋鉄道,core,陸運業
9065,山九,core,陸運業
9069,センコーグループホールディングス,core,陸運業
9072,ニッコンホールディングス,core,陸運業
9076,セイノーホールディングス,core,陸運業
9142,九州旅客鉄道,core,陸運業
9143,ＳＧホールディングス,core,陸運業
9301,三菱倉庫,core,倉庫・運輸関連業
9302,三井倉庫ホールディングス,core,倉庫・運輸関連業
9364,上組,core,倉庫・運輸関連業
9401,ＴＢＳホールディングス,core,情報・通信業
9404,日本テレビホールディングス,core,情報・通信業
9435,光通信,core,情報・通信業
9449,ＧＭＯインターネットグループ,core,情報・通信業
9468,ＫＡＤＯＫＡＷＡ,core,情報・通信業
9504,中国電力,core,電気・ガス業
9505,北陸電力,core,電気・ガス業
9506,東北電力,core,電気・ガス業
9507,四国電力,core,電気・ガス業
9508,九州電力,core,電気・ガス業
9509,北海道電力,core,電気・ガス業
9513,電源開発,core,電気・ガス業
9533,東邦瓦斯,core,電気・ガス業
9616,共立メンテナンス,core,サービス業
9627,アインホールディングス,core,小売業
9684,スクウェア・エニックス・ホールディングス,core,情報・通信業
9697,カプコン,core,情報・通信業
9706,日本空港ビルデング,core,不動産業
9744,メイテックグループホールディングス,core,サービス業
9759,ＮＳＤ,core,情報・通信業
9831,ヤマダホールディングス,core,小売業
9861,吉野家ホールディングス,core,小売業
9934,因幡電機産業,core,卸売業
9962,ミスミグループ本社,core,卸売業
9987,スズケン,core,卸売業
9989,サンドラッグ,core,小売業
285A,キオクシアホールディングス,hot,半導体メモリ(NAND)
3436,SUMCO,hot,半導体シリコンウェハ
3778,さくらインターネット,hot,データセンタ・GPUクラウド
5801,古河電気工業,hot,電線・光ファイバ
5803,フジクラ,hot,電線・光ファイバ(DC)
6146,ディスコ,hot,半導体製造装置(ダイサ)
6526,ソシオネクスト,hot,半導体設計(SoC)
6723,ルネサスエレクトロニクス,hot,半導体(車載マイコン)
6857,アドバンテスト,hot,半導体検査装置(テスタ)
6920,レーザーテック,hot,半導体検査装置(EUV)
7011,三菱重工業,hot,重工・防衛
7013,IHI,hot,重工・防衛(航空エンジン)
